Date,Open,High,Low,Close,Volume
2020-04-12,2.97000002861023,2.98000001907349,2.79999995231628,2.88000011444092,672864
2020-04-13,2.90000009536743,2.98000001907349,2.85999989509583,2.91000008583069,529749
2020-04-14,2.98000001907349,3.06999993324280,2.98000001907349,3.04999995231628,492576
2020-04-15,3.09999990463257,3.09999990463257,2.95000004768372,3.01999998092651,330028
2020-04-16,3.00999999046326,3.04999995231628,2.93000006675720,3.00000000000000,87150
2020-04-17,3.00999999046326,3.04999995231628,2.93000006675720,3.00000000000000,0
2020-04-20,3.00999999046326,3.04999995231628,2.93000006675720,3.00000000000000,0
2020-04-21,2.95000004768372,3.02999997138977,2.89000010490417,2.95000004768372,121311
2020-04-22,3.00000000000000,3.25000000000000,2.95000004768372,3.17000007629395,710185
2020-04-23,3.43000006675720,3.46000003814697,3.26999998092651,3.36999988555908,864456
2020-04-24,3.43000006675720,3.46000003814697,3.26999998092651,3.36999988555908,0
2020-04-26,3.36999988555908,3.43000006675720,3.26999998092651,3.32999992370605,443643
2020-04-27,3.32999992370605,3.33999991416931,3.25000000000000,3.28999996185303,164715
2020-04-28,3.26999998092651,3.60999989509583,3.26999998092651,3.52999997138977,944973
2020-04-29,3.71000003814697,3.74000000953674,3.44000005722046,3.59999990463257,273933
2020-04-30,3.50999999046326,3.76999998092651,3.50999999046326,3.63000011444092,390412
2020-05-03,3.36999988555908,3.59999990463257,3.26999998092651,3.39000010490417,405796
2020-05-04,3.28999996185303,3.52999997138977,3.28999996185303,3.42000007629395,338364
2020-05-05,3.50000000000000,3.64000010490417,3.47000002861023,3.56999993324280,305179
2020-05-06,3.64000010490417,3.73000001907349,3.55999994277954,3.67000007629395,337573
2020-05-07,3.75000000000000,3.75999999046326,3.30999994277954,3.35999989509583,1064128
2020-05-08,3.75000000000000,3.75999999046326,3.30999994277954,3.35999989509583,0
2020-05-10,3.43000006675720,3.43000006675720,3.02999997138977,3.10999989509583,898119
2020-05-11,3.13000011444092,3.23000001907349,2.92000007629395,3.11999988555908,410695
2020-05-12,3.28999996185303,3.32999992370605,3.20000004768372,3.25999999046326,294585
2020-05-13,3.25999999046326,3.39000010490417,3.15000009536743,3.24000000953674,379845
2020-05-14,3.26999998092651,3.32999992370605,3.20000004768372,3.26999998092651,163374
2020-05-15,3.26999998092651,3.32999992370605,3.20000004768372,3.26999998092651,0
2020-05-17,3.32999992370605,3.58999991416931,3.31999993324280,3.54999995231628,913398
2020-05-18,3.67000007629395,3.73000001907349,3.45000004768372,3.55999994277954,405870
2020-05-19,3.51999998092651,3.76999998092651,3.50999999046326,3.69000005722046,781692
2020-05-20,3.71000003814697,3.82999992370605,3.53999996185303,3.73000001907349,422844
2020-05-21,3.73000001907349,3.86999988555908,3.63000011444092,3.77999997138977,436228
2020-05-22,3.73000001907349,3.86999988555908,3.63000011444092,3.77999997138977,0
2020-05-25,3.73000001907349,3.86999988555908,3.63000011444092,3.77999997138977,0
2020-05-26,3.73000001907349,3.86999988555908,3.63000011444092,3.77999997138977,0
2020-05-27,3.73000001907349,3.86999988555908,3.63000011444092,3.77999997138977,0
2020-05-28,3.73000001907349,3.86999988555908,3.63000011444092,3.77999997138977,0
2020-05-29,3.73000001907349,3.86999988555908,3.63000011444092,3.77999997138977,0
2020-05-31,3.76999998092651,4.00000000000000,3.73000001907349,3.91000008583069,312223
2020-06-01,3.90000009536743,3.99000000953674,3.79999995231628,3.90000009536743,314005
2020-06-02,3.86999988555908,4.03000020980835,3.82999992370605,3.93000006675720,642898
2020-06-03,3.86999988555908,3.92000007629395,3.79999995231628,3.82999992370605,276058
2020-06-04,3.82999992370605,3.96000003814697,3.82999992370605,3.86999988555908,342399
2020-06-05,3.82999992370605,3.96000003814697,3.82999992370605,3.86999988555908,0
2020-06-07,3.96000003814697,4.00000000000000,3.85999989509583,3.92000007629395,451666
2020-06-08,3.86999988555908,3.94000005722046,3.79999995231628,3.84999990463257,313818
2020-06-09,3.86999988555908,3.86999988555908,3.75000000000000,3.78999996185303,224130
2020-06-10,3.74000000953674,3.76999998092651,3.68000006675720,3.72000002861023,284265
2020-06-11,3.69000005722046,3.84999990463257,3.67000007629395,3.74000000953674,465633
2020-06-12,3.69000005722046,3.84999990463257,3.67000007629395,3.74000000953674,0
2020-06-14,3.78999996185303,4.00000000000000,3.78999996185303,3.93000006675720,923248
2020-06-15,3.89000010490417,3.96000003814697,3.79999995231628,3.88000011444092,366625
2020-06-16,3.93000006675720,3.97000002861023,3.83999991416931,3.93000006675720,199329
2020-06-17,3.95000004768372,3.95000004768372,3.67000007629395,3.81999993324280,351822
2020-06-18,3.86999988555908,3.91000008583069,3.75000000000000,3.81999993324280,153720
2020-06-19,3.86999988555908,3.91000008583069,3.75000000000000,3.81999993324280,0
2020-06-21,3.74000000953674,3.86999988555908,3.73000001907349,3.80999994277954,288042
2020-06-22,3.91000008583069,3.93000006675720,3.78999996185303,3.84999990463257,221478
2020-06-23,3.86999988555908,3.92000007629395,3.80999994277954,3.85999989509583,269697
2020-06-24,3.82999992370605,3.99000000953674,3.81999993324280,3.92000007629395,366015
2020-06-25,3.94000005722046,4.15999984741211,3.94000005722046,4.07999992370605,1003996
2020-06-26,3.94000005722046,4.15999984741211,3.94000005722046,4.07999992370605,0
2020-06-28,4.19000005722046,4.48999977111816,4.17999982833862,4.38999986648560,2497679
2020-06-29,4.46999979019165,4.59999990463257,4.30000019073486,4.44999980926514,1263371
2020-06-30,4.38999986648560,4.53999996185303,4.34000015258789,4.46000003814697,1124710
2020-07-01,4.38999986648560,4.53999996185303,4.34000015258789,4.46000003814697,0
2020-07-02,4.38999986648560,4.53999996185303,4.34000015258789,4.46000003814697,0
2020-07-03,4.38999986648560,4.53999996185303,4.34000015258789,4.46000003814697,0
2020-07-05,4.59999990463257,4.69000005722046,4.51999998092651,4.61000013351440,700710
2020-07-06,4.57000017166138,4.63000011444092,4.46000003814697,4.53999996185303,377209
2020-07-07,4.50000000000000,4.53000020980835,4.34999990463257,4.44999980926514,942930
