Date,Open,High,Low,Close,Volume
2020-04-12,1.30666530132294,1.38333189487457,1.25666546821594,1.32999861240387,19931760
2020-04-13,1.38999855518341,1.45999848842621,1.38333189487457,1.42999851703644,26460554
2020-04-14,1.48666512966156,1.56666505336761,1.48333179950714,1.52666509151459,30733072
2020-04-15,1.50333178043365,1.51666510105133,1.44333183765411,1.46999847888947,14921921
2020-04-16,1.44666516780853,1.48999845981598,1.43333184719086,1.45999848842621,13874263
2020-04-17,1.44666516780853,1.48999845981598,1.43333184719086,1.45999848842621,0
2020-04-20,1.44666516780853,1.48999845981598,1.43333184719086,1.45999848842621,0
2020-04-21,1.40333187580109,1.55333173274994,1.40333187580109,1.50333178043365,18750536
2020-04-22,1.54666507244110,1.58999836444855,1.49333178997040,1.54999840259552,17582628
2020-04-23,1.58999836444855,1.59999835491180,1.54999840259552,1.57666504383087,12528258
2020-04-24,1.58999836444855,1.59999835491180,1.54999840259552,1.57666504383087,0
2020-04-26,1.57999837398529,1.59999835491180,1.54999840259552,1.56999838352203,12084090
2020-04-27,1.56666505336761,1.58666503429413,1.50666511058807,1.54333174228668,15220479
2020-04-28,1.54666507244110,1.59999835491180,1.53333175182343,1.58333170413971,14436038
2020-04-29,1.59333169460297,1.64333164691925,1.55999839305878,1.60666501522064,20273720
2020-04-30,1.58666503429413,1.60666501522064,1.56999838352203,1.58666503429413,6223458
2020-05-03,1.56666505336761,1.56666505336761,1.42999851703644,1.47333180904388,12817608
2020-05-04,1.46333181858063,1.49999845027924,1.41333186626434,1.45333182811737,12532629
2020-05-05,1.47333180904388,1.49666512012482,1.43666517734528,1.46666514873505,10279993
2020-05-06,1.48333179950714,1.48333179950714,1.44333183765411,1.46333181858063,7115233
2020-05-07,1.46333181858063,1.46333181858063,1.33333194255829,1.40333187580109,8075942
2020-05-08,1.46333181858063,1.46333181858063,1.33333194255829,1.40333187580109,0
2020-05-10,1.39999854564667,1.46666514873505,1.35666525363922,1.41999852657318,9927543
2020-05-11,1.39999854564667,1.49999845027924,1.37333190441132,1.44999849796295,11097320
2020-05-12,1.51666510105133,1.59333169460297,1.51666510105133,1.55666506290436,16172920
2020-05-13,1.60333168506622,1.61333167552948,1.50999844074249,1.56666505336761,10502380
2020-05-14,1.54666507244110,1.55999839305878,1.49666512012482,1.51666510105133,9849486
2020-05-15,1.54666507244110,1.55999839305878,1.49666512012482,1.51666510105133,0
2020-05-17,1.51333177089691,1.53333175182343,1.47666513919830,1.50666511058807,4111150
2020-05-18,1.50666511058807,1.56999838352203,1.46666514873505,1.52999842166901,14863244
2020-05-19,1.57333171367645,1.59333169460297,1.52999842166901,1.55999839305878,6673818
2020-05-20,1.53333175182343,1.53333175182343,1.48333179950714,1.50333178043365,4502701
2020-05-21,1.51666510105133,1.55666506290436,1.48333179950714,1.52666509151459,7335082
2020-05-22,1.51666510105133,1.55666506290436,1.48333179950714,1.52666509151459,0
