Date,Open,High,Low,Close,Volume
2020-04-12,6.50000000000000,6.69999980926514,6.48999977111816,6.59000015258789,18379
2020-04-13,6.69999980926514,6.80000019073486,6.50000000000000,6.65999984741211,30420
2020-04-14,6.59999990463257,7.07999992370605,6.59999990463257,6.88999986648560,35090
2020-04-15,6.90000009536743,6.98999977111816,6.65000009536743,6.69999980926514,8050
2020-04-16,7.00000000000000,7.15000009536743,6.98000001907349,7.00000000000000,16550
2020-04-17,7.00000000000000,7.15000009536743,6.98000001907349,7.00000000000000,0
2020-04-20,7.00000000000000,7.15000009536743,6.98000001907349,7.00000000000000,0
2020-04-21,7.00000000000000,7.00000000000000,6.90000009536743,6.98999977111816,9000
2020-04-22,7.00000000000000,7.00000000000000,6.65000009536743,6.98999977111816,2900
2020-04-23,7.00000000000000,7.00000000000000,6.80000019073486,6.98000001907349,19377
2020-04-24,7.00000000000000,7.00000000000000,6.80000019073486,6.98000001907349,0
2020-04-26,7.00000000000000,7.00000000000000,6.80000019073486,6.98999977111816,55570
2020-04-27,6.90000009536743,6.98999977111816,6.80000019073486,6.82999992370605,6585
2020-04-28,6.90000009536743,6.90000009536743,6.65000009536743,6.76000022888184,4601
2020-04-29,7.00000000000000,7.00000000000000,6.69999980926514,6.88000011444092,7399
2020-04-30,7.00000000000000,7.00000000000000,6.69999980926514,6.92000007629395,7357
2020-05-03,7.00000000000000,7.00000000000000,6.69999980926514,6.92000007629395,0
2020-05-04,6.75000000000000,6.92000007629395,6.75000000000000,6.92000007629395,500
2020-05-05,7.00000000000000,7.00000000000000,6.92000007629395,6.92000007629395,1000
2020-05-06,6.50000000000000,7.00000000000000,6.50000000000000,6.88999986648560,15605
2020-05-07,6.98000001907349,6.98000001907349,6.40000009536743,6.55000019073486,15211
2020-05-08,6.98000001907349,6.98000001907349,6.40000009536743,6.55000019073486,0
2020-05-10,6.90000009536743,7.19999980926514,6.90000009536743,7.00000000000000,97142
2020-05-11,7.19999980926514,7.28999996185303,7.00000000000000,7.01000022888184,71000
2020-05-12,7.19999980926514,7.19999980926514,7.00000000000000,7.01000022888184,48700
2020-05-13,7.00000000000000,7.00000000000000,6.50000000000000,6.63000011444092,38440
2020-05-14,6.40000009536743,6.69999980926514,6.30000019073486,6.40999984741211,8000
2020-05-15,6.40000009536743,6.69999980926514,6.30000019073486,6.40999984741211,0
2020-05-17,6.32999992370605,6.34000015258789,6.30000019073486,6.30999994277954,8558
2020-05-18,6.30999994277954,6.40000009536743,6.30000019073486,6.34999990463257,5500
2020-05-19,6.50000000000000,6.73000001907349,6.34999990463257,6.34999990463257,1160
2020-05-20,6.50000000000000,6.73000001907349,6.34999990463257,6.34999990463257,0
2020-05-21,6.50000000000000,6.69000005722046,6.34999990463257,6.34999990463257,2040
2020-05-22,6.50000000000000,6.69000005722046,6.34999990463257,6.34999990463257,0
2020-05-25,6.50000000000000,6.69000005722046,6.34999990463257,6.34999990463257,0
2020-05-26,6.50000000000000,6.69000005722046,6.34999990463257,6.34999990463257,0
